AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|ALUNNI|Tipo
NORD OVEST|CNIS014001|CNTD014028|"SALUZZO - ""C. DENINA"""|CASA CIRCONDARIALE MORANDI|SALUZZO|IST TEC COMMERCIALE E PER GEOMETRI|REGIONE BRONDA 19/B|CUNEO|PIEMONTE||
NORD OVEST|CNIC85900A|CNMM85902C|MONDOVI' 2|MONDOVI' CORDERO SS PIANFEI|PIANFEI|SCUOLA PRIMO GRADO|VIA ROMA 99/F|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNAA862013|SALUZZO|SALUZZO-ILARIA ALPI|SALUZZO|SCUOLA INFANZIA|VIA BARGE, 6/A|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNAA862024|SALUZZO|SALUZZO-VIA MARIA LUISA ALESSI|SALUZZO|SCUOLA INFANZIA|VIA MARIA LUISA ALESSI|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNAA862035|SALUZZO|SALUZZO-FRAZ.CERVIGNASCO|SALUZZO|SCUOLA INFANZIA|VIA REVALANCA, 14|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNAA862046|SALUZZO|PAGNO|PAGNO|SCUOLA INFANZIA|VIA CADUTI LIBERAZIONE, 8|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNAA86301V|BRA 2|"BRA-VIA OSP. "" G. RODARI"""|BRA|SCUOLA INFANZIA|VIA OSPEDALE, 10|CUNEO|PIEMONTE||
NORD OVEST|CNIC86400T|CNAA86402Q|BRA 1|BRA-CARLO COLLODI|BRA|SCUOLA INFANZIA|PIAZZETTA VALFRE' DI BONZO 2/A|CUNEO|PIEMONTE||
NORD OVEST|CNIC86400T|CNAA86403R|BRA 1|BRA- S. ANDREA CENTRO STORICO|BRA|SCUOLA INFANZIA|VIA BEATO VALFRE'|CUNEO|PIEMONTE||
NORD OVEST|CNIC86500N|CNAA86501E|FOSSANO A|FOSSANO-PIAZZA VITTORIO VENETO|FOSSANO|SCUOLA INFANZIA|PIAZZA VITTORIO VENETO|CUNEO|PIEMONTE||
NORD OVEST|CNIC86500N|CNAA86502G|FOSSANO A|FOSSANO-PIAZZA LUIGI DOMPE'|FOSSANO|SCUOLA INFANZIA|PIAZZA LUIGI DOMPE'|CUNEO|PIEMONTE||
NORD OVEST|CNIC86500N|CNAA86503L|FOSSANO A|FOSSANO-FRAZ. S.SEBASTIANO|FOSSANO|SCUOLA INFANZIA|VIA DEI PEANI, N.8|CUNEO|PIEMONTE||
NORD OVEST|CNIC86600D|CNAA86601A|FOSSANO B|"FOSSANO-""COLLODI"""|FOSSANO|SCUOLA INFANZIA|VIA FORNACE,20|CUNEO|PIEMONTE||
NORD OVEST|CNIC86600D|CNAA86602B|FOSSANO B|"FOSSANO-""RODARI"""|FOSSANO|SCUOLA INFANZIA|VIA VINCENZO SPARLA 1|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNEE862018|SALUZZO|SALUZZO-CAP.'C.A. DALLA CHIESA'|SALUZZO|SCUOLA PRIMARIA|VIA ANTICA TORINO|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNEE862029|SALUZZO|"SALUZZO - CAPOL. ""MUSSO"""|SALUZZO|SCUOLA PRIMARIA|C.SO PIEMONTE, 185|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNEE86203A|SALUZZO|SALUZZO CAPOL. 'PIVANO'|SALUZZO|SCUOLA PRIMARIA|P.ZZA DANTE, 12|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNEE86204B|SALUZZO|"SALUZZO - CAP. ""COSTA"""|SALUZZO|SCUOLA PRIMARIA|P.ZZA XX SETTEMBRE, 1|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNMM862017|SALUZZO|"SALUZZO ""ROSA BIANCA"""|SALUZZO|SCUOLA PRIMO GRADO|VIA SEGRE 14|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNMM862028|SALUZZO|SALUZZO SS MANTA|MANTA|SCUOLA PRIMO GRADO|VIA GARIBALDI N. 61|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNAA86302X|BRA 2|BRA-ZONA MONTECATINI|BRA|SCUOLA INFANZIA|VIA PIUMATI N.72|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNAA863031|BRA 2|"BRA-BANDITO "" CHIARA LUBICH"""|BRA|SCUOLA INFANZIA|STRADA CROSASSA N. 14|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNAA863042|BRA 2|"BRA-POLLENZO""REG.MARGHERITA SAV"|BRA|SCUOLA INFANZIA|VIA REGINA MARGHERITA,30|CUNEO|PIEMONTE||
NORD OVEST|CNIC86400T|CNAA86401P|BRA 1|BRA - GINA LAGORIO|BRA|SCUOLA INFANZIA|VIA CACCIATORI DELLE ALPI, 22|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNEE863014|BRA 2|"BRA CAP.- ""DON MILANI"""|BRA|SCUOLA PRIMARIA|VIA EUROPA, N.15|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNEE863025|BRA 2|"BRA -""F. GIOETTI""-MADONNA FIORI"|BRA|SCUOLA PRIMARIA|VIALE MADONNA DEI FIORI N.108|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNEE863036|BRA 2|"BRA-FRAZ.BANDITO "" A. JONA"""|BRA|SCUOLA PRIMARIA|VIA PROF.CRAVERO N.1|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNEE863047|BRA 2|"BRA-S. MICHELE  ""MARTIRI  RES"""|BRA|SCUOLA PRIMARIA|TENZA|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNEE863058|BRA 2|BRA - FRAZ. RIVA|BRA|SCUOLA PRIMARIA|VIA CAVALLERMAGGIORE|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNEE863069|BRA 2|"BRA -POLLENZO ""PRINC. MAFALDA """|BRA|SCUOLA PRIMARIA|VIA REGINA MARGHERITA, 54|CUNEO|PIEMONTE||
NORD OVEST|CNIC86400T|CNEE86401X|BRA 1|BRA-RITA LEVI MONTALCINI-|BRA|SCUOLA PRIMARIA|VIA VITTORIO EMANUELE, 200|CUNEO|PIEMONTE||
NORD OVEST|CNIC86400T|CNEE864021|BRA 1|"BRA- ""EDOARDO MOSCA"""|BRA|SCUOLA PRIMARIA|PIAZZA GIOVANNI GIOLITTI 84|CUNEO|PIEMONTE||
NORD OVEST|CNIC86500N|CNEE86501Q|FOSSANO A|FOSSANO LUIGI EINAUDI|FOSSANO|SCUOLA PRIMARIA|VIA MATTEOTTI, N.33|CUNEO|PIEMONTE||
NORD OVEST|CNIC86500N|CNEE86502R|FOSSANO A|FOSSANO - FRAZ. MURAZZO|FOSSANO|SCUOLA PRIMARIA|VIA CUNEO 197|CUNEO|PIEMONTE||
NORD OVEST|CNIC86500N|CNEE86503T|FOSSANO A|FOSSANO - FRAZ.MADDALENE|FOSSANO|SCUOLA PRIMARIA|VIA CENTALLO, N.279|CUNEO|PIEMONTE||
NORD OVEST|CNIC86500N|CNEE86504V|FOSSANO A|CERVERE F.LLI VERNASSA|CERVERE|SCUOLA PRIMARIA|VIA ROMA 16|CUNEO|PIEMONTE||
NORD OVEST|CNIC86600D|CNEE86601G|FOSSANO B|FOSSANO I. CALVINO|FOSSANO|SCUOLA PRIMARIA|VIA GARIBALDI 5|CUNEO|PIEMONTE||
NORD OVEST|CNIC86600D|CNEE86602L|FOSSANO B|"FOSSANO- CAP. ""P. LEVI"""|FOSSANO|SCUOLA PRIMARIA|VIA FEDERICO SACCO 3|CUNEO|PIEMONTE||
NORD OVEST|CNIC86600D|CNEE86603N|FOSSANO B|GENOLA LIDIA ROLFI|GENOLA|SCUOLA PRIMARIA|VIA SAN CIRIACO,4|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNIC862006|SALUZZO|SALUZZO|SALUZZO|ISTITUTO COMPRENSIVO|VIA C. SEGRE 14|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNIC863002|BRA 2|BRA 2|BRA|ISTITUTO COMPRENSIVO|VIA EUROPA, N.15|CUNEO|PIEMONTE||
NORD OVEST|CNIC86400T|CNIC86400T|BRA 1|BRA 1|BRA|ISTITUTO COMPRENSIVO|VIA VITTORIO EMANUELE, 200|CUNEO|PIEMONTE||
NORD OVEST|CNIC86500N|CNIC86500N|FOSSANO A|FOSSANO A|FOSSANO|ISTITUTO COMPRENSIVO|VIA G. MATTEOTTI, N.33|CUNEO|PIEMONTE||
NORD OVEST|CNIC86600D|CNIC86600D|FOSSANO B|FOSSANO B|FOSSANO|ISTITUTO COMPRENSIVO|PIAZZA DON MARIO PICCO N.6|CUNEO|PIEMONTE||
NORD OVEST|CNIC863002|CNMM863013|BRA 2|BRA - DALLACHIESA|BRA|SCUOLA PRIMO GRADO|VIA BRIZIO 10|CUNEO|PIEMONTE||
NORD OVEST|CNIC86400T|CNMM86401V|BRA 1|BRA PIUMATI CRAVERI|BRA|SCUOLA PRIMO GRADO|VIA BARBACANA 41|CUNEO|PIEMONTE||
NORD OVEST|CNIC86500N|CNMM86501P|FOSSANO A|FOSSANO PAGLIERI|FOSSANO|SCUOLA PRIMO GRADO|VIA DANTE ALIGHIERI 18|CUNEO|PIEMONTE||
NORD OVEST|CNIC86500N|CNMM86502Q|FOSSANO A|FOSSANO PAGLIERI SS CERVERE|CERVERE|SCUOLA PRIMO GRADO|VIA ADUA N. 2|CUNEO|PIEMONTE||
NORD OVEST|CNIC86600D|CNMM86601E|FOSSANO B|FOSSANO SACCO-BOETTO|FOSSANO|SCUOLA PRIMO GRADO|PIAZZA DON MARIO PICCO N.6|CUNEO|PIEMONTE||
NORD OVEST|CNIC86600D|CNMM86602G|FOSSANO B|FOSSANO SACCO-BOETTO SS GENOLA|GENOLA|SCUOLA PRIMO GRADO|VIA SAN CIRIACO 1/A|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNEE86205C|SALUZZO|PAGNO - CAPOLUOGO|PAGNO|SCUOLA PRIMARIA|VIA CADUTI LIBERAZIONE, 8|CUNEO|PIEMONTE||
NORD OVEST|CNIC862006|CNEE86206D|SALUZZO|MANTA - CAPOLUOGO|MANTA|SCUOLA PRIMARIA|VIA VALERANO IL BURDO, 9/B|CUNEO|PIEMONTE||
NORD OVEST|CNIC83500T|CNAA83501P|SANFRONT -  PAESANA|RIFREDDO-CAPOLUOGO|RIFREDDO|SCUOLA INFANZIA|VIA VITT. EMANUELE II, 22|CUNEO|PIEMONTE||
NORD OVEST|CNIC83500T|CNAA83502Q|SANFRONT -  PAESANA|PAESANA-CAPOLUOGO|PAESANA|SCUOLA INFANZIA|VIA REYNAUD N. 13|CUNEO|PIEMONTE||
NORD OVEST|CNIC83500T|CNAA83503R|SANFRONT -  PAESANA|MARTINIANA PO-CAPOLUOGO|MARTINIANA PO|SCUOLA INFANZIA|VIA ROMA N. 29|CUNEO|PIEMONTE||
NORD OVEST|CNIC83600N|CNAA83601E|GARESSIO|SCUOLA INFANZIA BAGNASCO|BAGNASCO|SCUOLA INFANZIA|VIA ROMA, 5|CUNEO|PIEMONTE||
NORD OVEST|CNIC83600N|CNAA83602G|GARESSIO|SCUOLA INFANZIA ORMEA|ORMEA|SCUOLA INFANZIA|VIA MARTINETTO, 1 - LOC.ALTRAMELLA|CUNEO|PIEMONTE||
NORD OVEST|CNIC84500C|CNIC84500C|VERZUOLO|VERZUOLO|VERZUOLO|ISTITUTO COMPRENSIVO|VIA EUROPA ,  5|CUNEO|PIEMONTE||
NORD OVEST|CNIC80200E|CNEE80204Q|MOROZZO|MONTANERA - CAPOL.|MONTANERA|SCUOLA PRIMARIA|VIA CAMPO SPORTIVO|CUNEO|PIEMONTE|28.0|S
NORD OVEST|CNIC80200E|CNEE80205R|MOROZZO|"MOROZZO - ""CAV. ALDO ROSSI"""|MOROZZO|SCUOLA PRIMARIA|PIAZZA C. BARBERO 8|CUNEO|PIEMONTE|125.0|S
NORD OVEST|CNIC80300A|CNEE80301C|"DEMONTE  ""L. ROMANO"""|DEMONTE|DEMONTE|SCUOLA PRIMARIA|VIA PEANO 6|CUNEO|PIEMONTE|70.0|S
NORD OVEST|CNIC80300A|CNEE80302D|"DEMONTE  ""L. ROMANO"""|PRIMARIA DEMONTE-FESTIONA|DEMONTE|SCUOLA PRIMARIA|""" L. PELIZZETTI"" P.ZA  ALPINI, 1"|CUNEO|PIEMONTE|8.0|S
NORD OVEST|CNIC80300A|CNEE80304G|"DEMONTE  ""L. ROMANO"""|PRIMARIA ROCCASPARVERA - P.Q.|ROCCASPARVERA|SCUOLA PRIMARIA|VIA PERASSO,N.13|CUNEO|PIEMONTE|104.0|S
NORD OVEST|CNIC80300A|CNEE80305L|"DEMONTE  ""L. ROMANO"""|PRIMARIA VINADIO - AISONE|VINADIO|SCUOLA PRIMARIA|VIA TROCELLO, 12|CUNEO|PIEMONTE|38.0|S
NORD OVEST|CNIC81900X|CNEE819034|LA MORRA|LA MORRA -|LA MORRA|SCUOLA PRIMARIA|P.ZZA CASTELLO N. 8|CUNEO|PIEMONTE|104.0|S
NORD OVEST|CNIC81900X|CNEE819045|LA MORRA|MONFORTE D'ALBA -|MONFORTE D'ALBA|SCUOLA PRIMARIA|P.ZZA F.LLI VOLA, N. 3|CUNEO|PIEMONTE|100.0|S
NORD OVEST|CNIC820004|CNEE820016|SANTA VITTORIA D'ALBA|POCAPAGLIA-CAPOLUOGO|POCAPAGLIA|SCUOLA PRIMARIA|PIAZZA MARIA PIA|CUNEO|PIEMONTE|98.0|S
NORD OVEST|CNIC820004|CNEE820027|SANTA VITTORIA D'ALBA|POCAPAGLIA-FRAZ.MACELLAI|POCAPAGLIA|SCUOLA PRIMARIA|VIA VALENTINO|CUNEO|PIEMONTE|63.0|S
NORD OVEST|CNIC83600N|CNIC83600N|GARESSIO|GARESSIO|GARESSIO|ISTITUTO COMPRENSIVO|VIA VITTORIO EMANUELE, 72|CUNEO|PIEMONTE||
NORD OVEST|CNIC838009|CNIC838009|CAVALLERMAGGIORE|CAVALLERMAGGIORE|CAVALLERMAGGIORE|ISTITUTO COMPRENSIVO|PIAZZA NOBEL N.1|CUNEO|PIEMONTE||
NORD OVEST|CNIC820004|CNEE820038|SANTA VITTORIA D'ALBA|SANTA VITTORIA D'ALBA - CAPOL.|SANTA VITTORIA D'ALBA|SCUOLA PRIMARIA|PIAZZA BERTERO|CUNEO|PIEMONTE|59.0|S
NORD OVEST|CNIC839005|CNIC839005|BERNEZZO - DUCCIO GALIMBERTI|BERNEZZO - DUCCIO GALIMBERTI|BERNEZZO|ISTITUTO COMPRENSIVO|P.ZA SOLIDARIETA E VOLONTARIATO 3|CUNEO|PIEMONTE||
NORD OVEST|CNIC840009|CNIC840009|CERVASCA|CERVASCA|CERVASCA|ISTITUTO COMPRENSIVO|PIAZZA  BERNARDI|CUNEO|PIEMONTE||
NORD OVEST|CNIC841005|CNIC841005|CHIUSA DI PESIO - PEVERAGNO|CHIUSA DI PESIO - PEVERAGNO|CHIUSA DI PESIO|ISTITUTO COMPRENSIVO|VIA        CIRCONVALLAZ. VIGNA|CUNEO|PIEMONTE||
NORD OVEST|CNIC84300R|CNIC84300R|CENTALLO-VILLAFALLETTO|CENTALLO-VILLAFALLETTO|CENTALLO|ISTITUTO COMPRENSIVO|VIALE  DELLE SCUOLE N. 8|CUNEO|PIEMONTE||
NORD OVEST|CNIC83600N|CNAA83603L|GARESSIO|SCUOLA INFANZIA  NUCETTO|NUCETTO|SCUOLA INFANZIA|VIA LUNGOTANARO 1|CUNEO|PIEMONTE||
NORD OVEST|CNIS014001|CNIS014001|"SALUZZO - ""C. DENINA"""|"SALUZZO - ""C. DENINA"""|SALUZZO|ISTITUTO SUPERIORE|VIA        DELLA CHIESA 17|CUNEO|PIEMONTE||
NORD OVEST|CNIS01600L|CNIS01600L|"BRA - ""E. GUALA"""|"BRA - ""E. GUALA"""|BRA|ISTITUTO SUPERIORE|PIAZZA     ROMA 7|CUNEO|PIEMONTE||
NORD OVEST|CNIC826003|CNEE826059|VENASCA-COSTIGLIOLE S.|SAMPEYRE - CAPOLUOGO|SAMPEYRE|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|44.0|S
NORD OVEST|CNIC80600T|CNAA80605V|CARRU|MAGLIANO ALPI|MAGLIANO ALPI|SCUOLA INFANZIA|VIA LANGHE, 111|CUNEO|PIEMONTE||
NORD OVEST|CNIC826003|CNEE82606A|VENASCA-COSTIGLIOLE S.|VENASCA - CAPOLUOGO|VENASCA|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|64.0|S
NORD OVEST|CNIC826003|CNEE82607B|VENASCA-COSTIGLIOLE S.|PIASCO  - CAPOLUOGO|PIASCO|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|112.0|S
NORD OVEST|CNIC826003|CNEE82610G|VENASCA-COSTIGLIOLE S.|COSTIGLIOLE SALUZZO - CAPOL.|COSTIGLIOLE SALUZZO|SCUOLA PRIMARIA|PIAZZA VITTORIO EMANUELE II N 10|CUNEO|PIEMONTE|161.0|S
NORD OVEST|CNIC82800P|CNEE82801R|"DRONERO ""G.GIOLITTI"""|ROCCABRUNA - LOC. TETTO ROSSO|ROCCABRUNA|SCUOLA PRIMARIA|VIA MISTRAL N. 15|CUNEO|PIEMONTE|84.0|S
NORD OVEST|CNIC83600N|CNAA83604N|GARESSIO|SCUOLA INFANZIA  GARESSIO|GARESSIO|SCUOLA INFANZIA|PIAZZA BALILLA|CUNEO|PIEMONTE||
NORD OVEST|CNIC83700D|CNAA83702B|NEIVE|NEIVE - BORGONUOVO|NEIVE|SCUOLA INFANZIA|VIA C.PAVESE 3A|CUNEO|PIEMONTE||
NORD OVEST|CNIC83700D|CNAA83703C|NEIVE|TREISO|TREISO|SCUOLA INFANZIA|PIAZZA BARACCO|CUNEO|PIEMONTE||
NORD OVEST|CNIC82800P|CNEE82802T|"DRONERO ""G.GIOLITTI"""|"DRONERO ""CAPOL. CENTRALE"""|DRONERO|SCUOLA PRIMARIA|PIAZZA MARCONI|CUNEO|PIEMONTE|156.0|S
NORD OVEST|CNIC82800P|CNEE82803V|"DRONERO ""G.GIOLITTI"""|"DRONERO  ""LOC. OLTREMAIRA"""|DRONERO|SCUOLA PRIMARIA|LOC.OLTREMAIRA|CUNEO|PIEMONTE|87.0|S
NORD OVEST|CNIC82800P|CNEE82804X|"DRONERO ""G.GIOLITTI"""|DRONERO - FRAZ. PRATAVECCHIA|DRONERO|SCUOLA PRIMARIA|FRAZ.PRATAVECCHIA|CUNEO|PIEMONTE|66.0|S
NORD OVEST|CNIC80700N|CNAA80701E|BENE VAGIENNA|SALMOUR|SALMOUR|SCUOLA INFANZIA|PIAZZA DONATORI DI SANGUE N. 1|CUNEO|PIEMONTE||
NORD OVEST|CNIC80700N|CNAA80702G|BENE VAGIENNA|SANT'ALBANO STURA|SANT'ALBANO STURA|SCUOLA INFANZIA|VIA MOROZZO|CUNEO|PIEMONTE||
NORD OVEST|CNIC81900X|CNEE819023|LA MORRA|NOVELLO - CAPOLUOGO|NOVELLO|SCUOLA PRIMARIA|VIA GIORDANO N. 61|CUNEO|PIEMONTE|56.0|S
NORD OVEST|CNIC840009|CNEE84003D|CERVASCA|CERVASCA - FRAZ. S. DEFENDENTE|CERVASCA|SCUOLA PRIMARIA|VIA DON BODINO, 7|CUNEO|PIEMONTE|76.0|S
NORD OVEST|CNIC840009|CNEE84004E|CERVASCA|VIGNOLO - CAPOLUOGO|VIGNOLO|SCUOLA PRIMARIA|PIAZZA GRANDE,1|CUNEO|PIEMONTE|127.0|S
NORD OVEST|CNIC81000D|CNEE81005Q|ROBILANTE|ENTRACQUE-CAPOLUOGO|ENTRACQUE|SCUOLA PRIMARIA|VIA ANGELO BARALE,2|CUNEO|PIEMONTE|33.0|S
NORD OVEST|CNIC81000D|CNEE81006R|ROBILANTE|VALDIERI-CAPOLUOGO|VALDIERI|SCUOLA PRIMARIA|PIAZZA DELLA RESISTENZA,1|CUNEO|PIEMONTE|32.0|S
NORD OVEST|CNIS00400A|CNIS00400A|"ALBA ""P. CILLARIO FERRERO"""|"ALBA ""P. CILLARIO FERRERO"""|ALBA|ISTITUTO SUPERIORE|VIA        BALBO 8|CUNEO|PIEMONTE||
NORD OVEST|CNIC833006|CNAA833013|BARGE|BARGE-CAPOLUOGO|BARGE|SCUOLA INFANZIA|VIA CAMPO SPORTIVO,20|CUNEO|PIEMONTE||
NORD OVEST|CNIC833006|CNAA833024|BARGE|BARGE-FRAZ.S.MARTINO|BARGE|SCUOLA INFANZIA|VIA CROCETTA, 2|CUNEO|PIEMONTE||
NORD OVEST|CNIC833006|CNAA833035|BARGE|BARGE - FRAZ. CROCERA|BARGE|SCUOLA INFANZIA|VIA CUNEO 15|CUNEO|PIEMONTE||
NORD OVEST|CNIC834002|CNAA83401V|REVELLO|ENVIE-CAPOLUOGO|ENVIE|SCUOLA INFANZIA|VIA CIRCONVALLAZIONE, 47|CUNEO|PIEMONTE||
NORD OVEST|CNIC834002|CNAA83402X|REVELLO|REVELLO-CAPOLUOGO|REVELLO|SCUOLA INFANZIA|VIALE UMBERTO I, 31/A|CUNEO|PIEMONTE||
NORD OVEST|CNIC83700D|CNEE83703N|NEIVE|"NEIVE-BORGONUOVO ""F.PICCINELLI"""|NEIVE|SCUOLA PRIMARIA|VIA SALVO D'ACQUISTO 7|CUNEO|PIEMONTE|200.0|S
NORD OVEST|CNIC83700D|CNEE83704P|NEIVE|TREISO|TREISO|SCUOLA PRIMARIA|PIAZZA BARACCO|CUNEO|PIEMONTE|70.0|S
NORD OVEST|CNIC83700D|CNEE83705Q|NEIVE|MANGO|MANGO|SCUOLA PRIMARIA|VIA CIRCONVALLAZIONE 43|CUNEO|PIEMONTE|47.0|S
NORD OVEST|CNIS00700T|CNIS00700T|"ALBA - ""G. GOVONE"""|"ALBA - ""G. GOVONE"""|ALBA|ISTITUTO SUPERIORE|VIA TEOBALDO CALISSANO 8|CUNEO|PIEMONTE||
NORD OVEST|CNIS01100D|CNIS01100D|"CEVA - ""G. BARUFFI"""|"CEVA - ""G. BARUFFI"""|CEVA|ISTITUTO SUPERIORE|PIAZZA     GALLIANO, 3|CUNEO|PIEMONTE||
NORD OVEST|CNIS012009|CNIS012009|"ALBA - ""UMBERTO I"""|"ALBA - ""UMBERTO I"""|ALBA|ISTITUTO SUPERIORE|CORSO ENOTRIA N? 2|CUNEO|PIEMONTE||
NORD OVEST|CNIC83200A|CNEE83202D|"BAGNOLO P.TE ""B. FENOGLIO"""|BAGNOLO P.TE-FRAZ.VILLARETTO|BAGNOLO PIEMONTE|SCUOLA PRIMARIA|VIA VILLARETTO 60|CUNEO|PIEMONTE|60.0|S
NORD OVEST|CNIC83100E|CNAA83102C|MORETTA|MORETTA INFANZIA|MORETTA|SCUOLA INFANZIA|VIA PALLIERI 18/A|CUNEO|PIEMONTE||
NORD OVEST|CNIC83100E|CNAA83103D|MORETTA|CARDE'|CARDE'|SCUOLA INFANZIA|VIA MORETTA 23|CUNEO|PIEMONTE||
NORD OVEST|CNIC809009|CNMM80901A|"""A. VASSALLO"" BOVES"|"BOVES ""A.VASSALLO"""|BOVES|SCUOLA PRIMO GRADO|VIA DON CAVALLERA N.14|CUNEO|PIEMONTE|301.0|S
NORD OVEST|CNIC81000D|CNMM81001E|ROBILANTE|ROBILANTE|ROBILANTE|SCUOLA PRIMO GRADO|PIAZZA DELLA PACE  N. 8|CUNEO|PIEMONTE|57.0|S
NORD OVEST|CNIS01700C|CNIS01700C|"FOSSANO -  ""G.VALLAURI"""|"FOSSANO -  ""G.VALLAURI"""|FOSSANO|ISTITUTO SUPERIORE|VIA S.MICHELE 68|CUNEO|PIEMONTE||
NORD OVEST|CNIC83200A|CNAA832017|"BAGNOLO P.TE ""B. FENOGLIO"""|SCUOLA DELL'INFANZIA E.PASQUET|BAGNOLO PIEMONTE|SCUOLA INFANZIA|VIA  A. DE GASPERI 3|CUNEO|PIEMONTE||
NORD OVEST|CNIC846008|CNIC846008|DOGLIANI|DOGLIANI|DOGLIANI|ISTITUTO COMPRENSIVO|VIA DOMENICO GHIGLIANO N.38|CUNEO|PIEMONTE||
NORD OVEST|CNIC82800P|CNAA82802L|"DRONERO ""G.GIOLITTI"""|DRONERO-CAPOLUOGO|DRONERO|SCUOLA INFANZIA|PIAZZA MARCONI N. 4/B|CUNEO|PIEMONTE||
NORD OVEST|CNIC82800P|CNAA82803N|"DRONERO ""G.GIOLITTI"""|VILLAR S.COSTANZO-MORRA|VILLAR SAN COSTANZO|SCUOLA INFANZIA|LOC. MORRA|CUNEO|PIEMONTE||
NORD OVEST|CNIC82800P|CNAA82804P|"DRONERO ""G.GIOLITTI"""|DRONERO OLTRE MAIRA|DRONERO|SCUOLA INFANZIA|VIA MONTEMALE, 1|CUNEO|PIEMONTE||
NORD OVEST|CNIC80700N|CNMM80703R|BENE VAGIENNA|BENE VAGIENNA SS S.ALBANO STURA|SANT'ALBANO STURA|SCUOLA PRIMO GRADO|VIA MOROZZO 14|CUNEO|PIEMONTE|63.0|S
NORD OVEST|CNIC80200E|CNAA80201B|MOROZZO|BEINETTE-CAPOLUOGO|BEINETTE|SCUOLA INFANZIA|VIA GIOVANNI XXIII, 9|CUNEO|PIEMONTE||
NORD OVEST|CNIC80800D|CNMM80801E|BORGO S. DALMAZZO|"BORGO S. DALMAZZO ""GRANDIS"""|BORGO SAN DALMAZZO|SCUOLA PRIMO GRADO|PIAZZA DON RAIMONDO VIALE N. 9|CUNEO|PIEMONTE|372.0|S
NORD OVEST|CNIC83000P|CNAA83002L|"RACCONIGI ""B. MUZZONE"""|SALVO D'ACQUISTO|RACCONIGI|SCUOLA INFANZIA|CORSO REGINA ELENA 73|CUNEO|PIEMONTE||
NORD OVEST|CNIC80700N|CNAA80703L|BENE VAGIENNA|TRINITA'|TRINITA'|SCUOLA INFANZIA|VIA GUANELLA N. 1|CUNEO|PIEMONTE||
NORD OVEST|CNIC80700N|CNAA80704N|BENE VAGIENNA|BENE VAGIENNA|BENE VAGIENNA|SCUOLA INFANZIA|VIA XX SETTEMBRE|CUNEO|PIEMONTE||
NORD OVEST|CNIC826003|CNAA82601X|VENASCA-COSTIGLIOLE S.|BROSSASCO-CAPOLUOGO|BROSSASCO|SCUOLA INFANZIA|PIAZZA CHIARI 2|CUNEO|PIEMONTE||
NORD OVEST|CNIC80200E|CNAA80202C|MOROZZO|CASTELLETTO STURA-CAPOLUOGO|CASTELLETTO STURA|SCUOLA INFANZIA|VIA CUNEO|CUNEO|PIEMONTE||
NORD OVEST|CNIC80200E|CNAA80203D|MOROZZO|MARGARITA|MARGARITA|SCUOLA INFANZIA|VIA GEN. R. VIGLIERO 6|CUNEO|PIEMONTE||
NORD OVEST|CNIC80200E|CNAA80204E|MOROZZO|MOROZZO-CAPOLUOGO|MOROZZO|SCUOLA INFANZIA|VIA L. EULA|CUNEO|PIEMONTE||
NORD OVEST|CNIC80200E|CNAA80205G|MOROZZO|MONTANERA - CAPOLUOGO|MONTANERA|SCUOLA INFANZIA|VIA CAMPO SPORTIVO 3|CUNEO|PIEMONTE||
