AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento|DESCRIZIONE_SINTETICA_CUP|ANNO_DECISIONE|STATO_PROGETTO|COSTO_PROGETTO|FINANZIAMENTO_PROGETTO|CODICE_STATO|STATO|CODICE_AREA_GEOGRAFICA|AREA_GEOGRAFICA|CODICE_REGIONE|CODICE_PROVINCIA|SIGLA_PROVINCIA|CODICE_COMUNE|PIVA_CODFISCALE_SOG_TITOLARE|SOGGETTO_TITOLARE|INDIRIZZO_SOG_TITOLARE|TIPO_INDIRIZZO_SOG_TITOLARE|NUM_CIVICO_SOG_TITOLARE|LOCALITA_SOG_TITOLARE|CAP_SOGGETTO_TITOLARE|COMUNE_SOGGETTO_TITOLARE|CODICE_COMUNE_SOGG_TITOLARE|CODICE_SOTTOCATEG_SOGGETTO|SOTTOCATEGORIA_SOGGETTO|CODICE_CATEGORIA_SOGGETTO|CATEGORIA_SOGGETTO|CODICE_AREA_SOGGETTO|AREA_SOGGETTO|CODICE_NATURA_INTERVENTO|NATURA_INTERVENTO|CODICE_TIPO_INTERVENTO|TIPOLOGIA_INTERVENTO|CODICE_AREA_INTERVENTO|AREA_INTERVENTO|CODICE_SETTORE_INTERVENTO|SETTORE_INTERVENTO|CODICE_SOTTOSETTORE_INTERVENTO|SOTTOSETTORE_INTERVENTO|CODICE_CATEGORIA_INTERVENTO|CATEGORIA_INTERVENTO|SOGGETTO_RICHIEDENTE|TIPOLOGIA_CUP|DESCRIZIONE_INTERVENTO|STRUTTURA_INFRASTRUTTURA|INDIRIZZO_INTERVENTO|NUMERO_DELIBERA_CIPE|ANNO_DELIBERA|FLAG_LEGGE_OBIETTIVO|FINANZA_PROGETTO|FLAG_TIPO_GENERICO|CUP_IN_RELAZIONE|RUOLO_IN_RELAZIONE|DESC_TIPO_RELAZIONE|DATA_ULTIMA_MODIFICA_SSC|DATA_ULTIMA_MODIFICA_UTENTE|DATA_CHIUSURA_REVOCA|CODICE_LOCALE_PROGETTO|CODICE_STRUMENTO_PROGRAM|STRUMENTO_PROGRAMMAZIONE|CODICE_COPERTURA_FINANZIARIA|COPERTURA_FINANZIARIA|SPONSORIZZAZIONI|ALTRE_INFORMAZIONI|DATA_GENERAZIONE_CUP|CONTROLLO_QUALITA|CUP_MASTER|RAGIONI_COLLEGAMENTO|LINK_OPENCOESIONE|LINK_SCUOLE_SICURE
NORD OVEST|CNIS00700T|CNIS00700T|"ALBA - ""G. GOVONE"""|ALBA|ISTITUTO SUPERIORE|VIA TEOBALDO CALISSANO 8|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIS01100D|CNIS01100D|"CEVA - ""G. BARUFFI"""|CEVA|ISTITUTO SUPERIORE|PIAZZA     GALLIANO, 3|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIS012009|CNIS012009|"ALBA - ""UMBERTO I"""|ALBA|ISTITUTO SUPERIORE|CORSO ENOTRIA N? 2|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC83200A|CNEE83202D|BAGNOLO P.TE-FRAZ.VILLARETTO|BAGNOLO PIEMONTE|SCUOLA PRIMARIA|VIA VILLARETTO 60|CUNEO|PIEMONTE|0040090002|CN|Attivo|-|-|SI|Rischio sismicità medio/alta (S=9)|NO|NO|SI|-|prima del 1800|-|tra il 1946 e il 1975|4.0|544,00|202,00|2.167,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC83200A|CNEE83202D|BAGNOLO P.TE-FRAZ.VILLARETTO|BAGNOLO PIEMONTE|SCUOLA PRIMARIA|VIA VILLARETTO 60|CUNEO|PIEMONTE|0040090004|CN|Attivo|NO|NO|NO|Rischio sismicità medio/alta (S=9)|SI|SI|NO|2004|Informazione assente|-|Informazione assente|1.0|-|-|129,00|Non Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC83100E|CNAA83102C|MORETTA INFANZIA|MORETTA|SCUOLA INFANZIA|VIA PALLIERI 18/A|CUNEO|PIEMONTE|0041430006|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1992|Informazione assente|-|Informazione assente|1.0|6.029,00|4.639,00|5.560,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|NO|NO|NO|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC83100E|CNAA83103D|CARDE'|CARDE'|SCUOLA INFANZIA|VIA MORETTA 23|CUNEO|PIEMONTE|0040420001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|1968|Informazione assente|-|Informazione assente|4.0|3.630,00|2.910,00|3.837,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|NO|NO|SI|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC809009|CNMM80901A|"BOVES ""A.VASSALLO"""|BOVES|SCUOLA PRIMO GRADO|VIA DON CAVALLERA N.14|CUNEO|PIEMONTE|0040280004|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1975|Informazione assente|-|Informazione assente|4.0|5.000,00|3.000,00|16.000,00|Non Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC81000D|CNMM81001E|ROBILANTE|ROBILANTE|SCUOLA PRIMO GRADO|PIAZZA DELLA PACE  N. 8|CUNEO|PIEMONTE|0041850001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|2.0|4.500,00|2.897,00|7.970,00|Esiste|Esiste|Esiste|Esiste|Esiste|SI|NO|NO|SI|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Robilante|Amministrazione comunale|2017-12-15|2018-03-26|2018-08-31|Robilante|COMUNE||||44.293642|7.513375|Ristrutturazione|Start|H11E17000270002|158000.0|35000.0|AMPLIAMENTO MENSA E MESSA IN SICUREZZA CON MIGLIOR FUNZIONALITA' DELL'EDIFICIO SCOLASTICO IN PIAZZA DELLA PACE N. 8 - 2° LOTTO*PIAZZA DELLA PACE N 8*AMPLIAMENTO MENSA E MESSA IN SICUREZZA CON MIGLIOR FUNZIONALITA' DELL'EDIFICIO SCOLASTICO IN PIAZZA DELLA PACE N. 8 - 2° LOTTO|2017|ATTIVO|158000|117455|5|ITALIA|NO|NORD-OVEST|1.0|4.0|CN|4185.0|80002410043|COMUNE DI ROBILANTE - CUNEO -|REGINA MARGHERITA|PIAZZA|27|ROBILANTE|12017|ROBILANTE|4185.0|0004|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|58.0|AMPLIAMENTO (COMPRESA SOPRAELEVAZIONE) O POTENZIAMENTO|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|999.0|ALTRE STRUTTURE SOCIALI|COMUNE DI ROBILANTE - CUNEO -|NORMALE|AMPLIAMENTO MENSA E MESSA IN SICUREZZA CON MIGLIOR FUNZIONALITA' DELL'EDIFICIO SCOLASTICO IN PIAZZA DELLA PACE N. 8 - 2° LOTTO|AMPLIAMENTO MENSA E MESSA IN SICUREZZA CON MIGLIOR FUNZIONALITA' DELL'EDIFICIO SCOLASTICO IN PIAZZA DELLA PACE N. 8 - 2° LOTTO|PIAZZA DELLA PACE N 8|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||||||0.0|ASSENTE|7.0|PRIVATA|PREVISTE SPONSORIZZAZIONI PARZIALI||20-JUN-17|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=
NORD OVEST|CNIC81000D|CNMM81001E|ROBILANTE|ROBILANTE|SCUOLA PRIMO GRADO|PIAZZA DELLA PACE  N. 8|CUNEO|PIEMONTE|0041850001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|2.0|4.500,00|2.897,00|7.970,00|Esiste|Esiste|Esiste|Esiste|Esiste|SI|NO|NO|SI|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Robilante|Amministrazione comunale|2017-12-15|2018-03-26|2018-08-31|Robilante|COMUNE||||44.293642|7.513375|Ristrutturazione|Start|H11E17000270002|158000.0|35000.0|AMPLIAMENTO MENSA E MESSA IN SICUREZZA CON MIGLIOR FUNZIONALITA' DELL'EDIFICIO SCOLASTICO IN PIAZZA DELLA PACE N. 8 - 2° LOTTO*PIAZZA DELLA PACE N 8*AMPLIAMENTO MENSA E MESSA IN SICUREZZA CON MIGLIOR FUNZIONALITA' DELL'EDIFICIO SCOLASTICO IN PIAZZA DELLA PACE N. 8 - 2° LOTTO|2017|ATTIVO|158000|117455|5|ITALIA|NO|NORD-OVEST|1.0|4|CN|4185.0|80002410043|COMUNE DI ROBILANTE - CUNEO -|REGINA MARGHERITA|PIAZZA|27|ROBILANTE|12017|ROBILANTE|4185|4|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|58.0|AMPLIAMENTO (COMPRESA SOPRAELEVAZIONE) O POTENZIAMENTO|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|999.0|ALTRE STRUTTURE SOCIALI|COMUNE DI ROBILANTE - CUNEO -|NORMALE|AMPLIAMENTO MENSA E MESSA IN SICUREZZA CON MIGLIOR FUNZIONALITA' DELL'EDIFICIO SCOLASTICO IN PIAZZA DELLA PACE N. 8 - 2° LOTTO|AMPLIAMENTO MENSA E MESSA IN SICUREZZA CON MIGLIOR FUNZIONALITA' DELL'EDIFICIO SCOLASTICO IN PIAZZA DELLA PACE N. 8 - 2° LOTTO|PIAZZA DELLA PACE N 8|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||||||0|ASSENTE|4|COMUNALE|PREVISTE SPONSORIZZAZIONI PARZIALI||20-JUN-17|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=
NORD OVEST|CNIC81000D|CNMM81001E|ROBILANTE|ROBILANTE|SCUOLA PRIMO GRADO|PIAZZA DELLA PACE  N. 8|CUNEO|PIEMONTE|0041850001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|2.0|4.500,00|2.897,00|7.970,00|Esiste|Esiste|Esiste|Esiste|Esiste|SI|NO|NO|SI|SI|SI|#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Robilante|Amministrazione comunale|2017-11-28|2016-09-01|2017-09-20|COMUNE di Robilante|COMUNE|CNIC81000D|||44.293622|7.5133600000000005|Ampliamento/ sopraelevazione|Concluso|H11E16000370004|99950.0|97354.12|SCUOLA DELL'INFANZIA E SCUOLA SECONDARIA DI PRIMO GRADO*PIAZZA DELLA PACE N 8*AMPLIAMENTO MENSA E MESSA IN SICUREZZA CON MIGLIOR FUNZIONALITÀ DELL'EDIFICIO SCOLASTICO|2016|ATTIVO|160000|160000|5|ITALIA|NO|NORD-OVEST|1.0|4.0|CN|4185.0|80002410043|COMUNE DI ROBILANTE - CUNEO -|REGINA MARGHERITA|PIAZZA|27|ROBILANTE|12017|ROBILANTE|4185.0|0004|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|58.0|AMPLIAMENTO (COMPRESA SOPRAELEVAZIONE) O POTENZIAMENTO|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|999.0|ALTRE STRUTTURE SOCIALI|COMUNE DI ROBILANTE - CUNEO -|NORMALE|AMPLIAMENTO MENSA E MESSA IN SICUREZZA CON MIGLIOR FUNZIONALITÀ DELL'EDIFICIO SCOLASTICO|SCUOLA DELL'INFANZIA E SCUOLA SECONDARIA DI PRIMO GRADO|PIAZZA DELLA PACE N 8|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|SI||||||||0.0|ASSENTE|4.0|COMUNALE|NON PREVISTE||29-FEB-16|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=101416
NORD OVEST|CNIS01700C|CNIS01700C|"FOSSANO -  ""G.VALLAURI"""|FOSSANO|ISTITUTO SUPERIORE|VIA S.MICHELE 68|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC83200A|CNAA832017|SCUOLA DELL'INFANZIA E.PASQUET|BAGNOLO PIEMONTE|SCUOLA INFANZIA|VIA  A. DE GASPERI 3|CUNEO|PIEMONTE|0040090006|CN|Attivo|NO|NO|NO|Rischio sismicità medio/alta (S=9)|SI|SI|NO|2007|Informazione assente|-|Informazione assente|1.0|3.121,00|2.246,00|3.937,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC846008|CNIC846008|DOGLIANI|DOGLIANI|ISTITUTO COMPRENSIVO|VIA DOMENICO GHIGLIANO N.38|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC82800P|CNAA82802L|DRONERO-CAPOLUOGO|DRONERO|SCUOLA INFANZIA|PIAZZA MARCONI N. 4/B|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC82800P|CNAA82803N|VILLAR S.COSTANZO-MORRA|VILLAR SAN COSTANZO|SCUOLA INFANZIA|LOC. MORRA|CUNEO|PIEMONTE|0042470004|CN|Attivo|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|1959|Informazione assente|-|tra il 1946 e il 1975|2.0|492,00|283,00|1.327,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|NO|NO|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC82800P|CNAA82804P|DRONERO OLTRE MAIRA|DRONERO|SCUOLA INFANZIA|VIA MONTEMALE, 1|CUNEO|PIEMONTE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80700N|CNMM80703R|BENE VAGIENNA SS S.ALBANO STURA|SANT'ALBANO STURA|SCUOLA PRIMO GRADO|VIA MOROZZO 14|CUNEO|PIEMONTE|0042110004|CN|Attivo|NO|NO|NO|Non Comunicato|NO|SI|NO|2004|Informazione assente|-|Informazione assente|3.0|1.123,00|1.000,00|6.676,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|SI|NO|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80200E|CNAA80201B|BEINETTE-CAPOLUOGO|BEINETTE|SCUOLA INFANZIA|VIA GIOVANNI XXIII, 9|CUNEO|PIEMONTE|0040160001|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|3.0|1.600,00|970,00|2.835,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|NO|SI|SI|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Beinette|Amministrazione comunale|2017-12-15|2017-06-30|2017-12-31|Beinette|COMUNE||||44.365675|7.644661999999999|Ristrutturazione|Cantiere aperto|E31E16000050001|346628.3|306000.0|SCUOLA MATERNA COMUNALE*VIA GIOVANNI XXIII 4*AMPLIAMENTO SCUOLA MATERNA COMUNALE|2016|ATTIVO|300000|300000|5|ITALIA|NO|NORD-OVEST|1.0|4.0|CN|4016.0|00395900046|COMUNE DI BEINETTE - CN -|VIA VITTORIO VENETO N. 9 - BEINETTE (CN)||S.N.|BEINETTE|12081|BEINETTE|4016.0|0004|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|58.0|AMPLIAMENTO (COMPRESA SOPRAELEVAZIONE) O POTENZIAMENTO|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|83.0|SCUOLE MATERNE|COMUNE DI BEINETTE - CN -|NORMALE|AMPLIAMENTO SCUOLA MATERNA COMUNALE|SCUOLA MATERNA COMUNALE|VIA GIOVANNI XXIII 4|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||||||99.0|ALTRO|1.0|STATALE|NON PREVISTE||03-MAR-16|Il corredo informativo del CUP non è stato visionato||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=
NORD OVEST|CNIC80800D|CNMM80801E|"BORGO S. DALMAZZO ""GRANDIS"""|BORGO SAN DALMAZZO|SCUOLA PRIMO GRADO|PIAZZA DON RAIMONDO VIALE N. 9|CUNEO|PIEMONTE|0040250005|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1964|Informazione assente|-|Informazione assente|5.0|1.600,00|470,00|20.284,00|Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|SI|SI|SI|SI|NO|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80800D|CNMM80801E|"BORGO S. DALMAZZO ""GRANDIS"""|BORGO SAN DALMAZZO|SCUOLA PRIMO GRADO|PIAZZA DON RAIMONDO VIALE N. 9|CUNEO|PIEMONTE|0040250009|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1964|Informazione assente|-|Informazione assente|5.0|1.600,00|470,00|20.284,00|Esiste|Esiste|Non Comunicato|Esiste|Esiste|SI|SI|SI|SI|SI|NO|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Borgo San Dalmazzo|MIUR|2017-07-31|2016-04-20|2016-11-30|BORGO SAN DALMAZZO|COMUNE|CNIC80800D|||44.327982|7.489031|Efficientamento energetico|Concluso|C34H15000860001|799868.0|799868.0|ISTITUTO COMPRENSIVO STATALE ING. S. GRANDIS*PIAZZA DON RAIMONDO VIALE*EFFICIENTAMENTO ENERGETICO, INTERVENTI STRUTTURALI E RIQUALIFICAZIONE FABBRICATO|2015|ATTIVO|799868|799868|5|ITALIA|NO|NORD-OVEST|1.0|4.0|CN|4025.0|00449510049|COMUNE DI BORGO SAN DALMAZZO - CUNEO -|ROMA|VIA|74||12011|BORGO SAN DALMAZZO|4025.0|0004|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|9.0|MANUTENZIONE STRAORDINARIA CON EFFICIENTAMENTO ENERGETICO|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|87.0|SCUOLE ELEMENTARI, MEDIE E SUPERIORI|COMUNE DI BORGO SAN DALMAZZO - CUNEO -|NORMALE|EFFICIENTAMENTO ENERGETICO, INTERVENTI STRUTTURALI E RIQUALIFICAZIONE FABBRICATO|ISTITUTO COMPRENSIVO STATALE ING. S. GRANDIS|PIAZZA DON RAIMONDO VIALE|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||30-NOV-17||||99.0|ALTRO|1.0|STATALE|NON PREVISTE|BANDO DECRETO MUTUI|29-OCT-15|Il corredo informativo di questo CUP è stato visionato, almeno parzialmente||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=98232
NORD OVEST|CNIC83000P|CNAA83002L|SALVO D'ACQUISTO|RACCONIGI|SCUOLA INFANZIA|CORSO REGINA ELENA 73|CUNEO|PIEMONTE|0041790005|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|1933|Informazione assente|1973|Informazione assente|3.0|5.294,00|4.345,00|5.290,00|Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|NO|SI|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC80700N|CNAA80703L|TRINITA'|TRINITA'|SCUOLA INFANZIA|VIA GUANELLA N. 1|CUNEO|PIEMONTE|0042320003|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1800 e il 1899|-|Informazione assente|4.0|3.500,00|2.500,00|6.640,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|NO|NO|SI|NO|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Trinità|MIUR|2017-07-31|2016-03-31|2016-10-27|TRINITA`|COMUNE|CNIC80700N||Sono stati effettuati interventi di ristrutturazione. a livello strutturale. energetico e sismico.|44.507251000000004|7.7600039999999995|Efficientamento energetico|Concluso|I31E15000070002|800000.0|800000.0|SCUOLA ELEMENTARE*VIA CARLO MARRO*RISTRUTTURAZIONE|2015|ATTIVO|800000|800000|5|ITALIA|NO|NORD-OVEST|1.0|4|CN|4232.0|00367390044|COMUNE DI TRINITA' - CN -|VIA ROMA N. 1||S.N.|TRINITA'|12049|TRINITA'|4232|4|AMMINISTRAZIONI COMUNALI|7.0|ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO|PAL|AMMINISTRAZIONI LOCALI|3.0|REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA)|7.0|MANUTENZIONE STRAORDINARIA|1.0|IMMOBILI|5.0|INFRASTRUTTURE SOCIALI|8.0|SOCIALI E SCOLASTICHE|87.0|SCUOLE ELEMENTARI, MEDIE E SUPERIORI|COMUNE DI TRINITA' - CN -|NORMALE|RISTRUTTURAZIONE|SCUOLA ELEMENTARE|VIA CARLO MARRO|DATO NON PRESENTE|DATO NON PRESENTE|N|NO|NO||||24-NOV-17||||99|ALTRO|2|REGIONALE|NON PREVISTE||23-FEB-15|Il corredo informativo di questo CUP è stato visionato, almeno parzialmente||||http://www.cantieriscuole.it/dettaglio_intervento.aspx?id=98267
NORD OVEST|CNIC80700N|CNAA80704N|BENE VAGIENNA|BENE VAGIENNA|SCUOLA INFANZIA|VIA XX SETTEMBRE|CUNEO|PIEMONTE|0040190001|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|NO|SI|-|prima del 1800|-|Dal 1976 in poi|3.0|1.028,00|463,00|4.576,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|SI|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
