AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME|SPAZIDIDATTICI|AULAMAGNA|MENSA|PALESTRAPISCINA|SPAZIAMMINISTRATIVI|SCUOLABUS|TRASPORTIPUBBLICIURBANI|TRASPORTIPUBBLICIINTERURBANI|TRASPORTIFERROVIARI|MEZZIPRIVATI|TRASPORTODISABILI|Linea_finanziamento|COMUNE|FONTE|Data_aggiornamento_lavori|Data_inizio|Data_fine|ENTE_RICHIEDENTE|TIPOLOGIA_ENTE_RICHIEDENTE|COD_PRINC|OGGETTO_INTERVENTO|INFO_AGGIUNTIVE|LATITUDINE|LONGITUDINE|TIPO_INTERVENTO|STATO LAVORI|CUP|Importo totale opera|Finanziamento/ Provvedimento
NORD OVEST|CNIC825007|CNEE825019|"CHERASCO - CAPOL. ""CENTRALE"""|CHERASCO|SCUOLA PRIMARIA|VIA S.TARICCO N.6|CUNEO|PIEMONTE|0040670008|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|NO|SI|-|prima del 1800|-|tra il 1946 e il 1975|3.0|1.287,00|711,00|4.100,00|Esiste|Non Esiste|Esiste|Non Esiste|Esiste|NO|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC84300R|CNEE843086|VOTTIGNASCO|VOTTIGNASCO|SCUOLA PRIMARIA|PIAZZA MARCONI 4|CUNEO|PIEMONTE|0042500002|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1907|Informazione assente|-|Informazione assente|2.0|1.092,00|570,00|3.514,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC84300R|CNEE843097|TARANTASCA|TARANTASCA|SCUOLA PRIMARIA|P. MARCONI N. 1|CUNEO|PIEMONTE|0042250002|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1908|Informazione assente|-|Informazione assente|3.0|800,00|200,00|5.000,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC84500C|CNEE84501E|VERZUOLO CAP.|VERZUOLO|SCUOLA PRIMARIA|PIAZZA A. W. BURGO, 5|CUNEO|PIEMONTE|0042400003|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|SI|SI|NO|1921|Informazione assente|-|Informazione assente|3.0|4.407,00|3.272,00|8.473,00|Non Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|SI|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC84500C|CNEE84502G|PRIMARIA FALICETTO|VERZUOLO|SCUOLA PRIMARIA|VIA SALUZZO 15|CUNEO|PIEMONTE|0042400001|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1900 e il 1920|-|Informazione assente|3.0|1.055,00|430,00|2.246,00|Non Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC82200Q|CNAA82204Q|VEZZA D'ALBA-CAPOLUOGO|VEZZA D'ALBA|SCUOLA INFANZIA|VIA L. FISSORE 1|CUNEO|PIEMONTE|0042410003|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1800 e il 1899|-|Informazione assente|3.0|1.000,00|580,00|1.950,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC82300G|CNAA82301C|CASTAGNITO CAPOLUOGO|CASTAGNITO|SCUOLA INFANZIA|VIA MASSIMO RODOLFO CORDERO 3|CUNEO|PIEMONTE|0040460001|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|SI|NO|1930|Informazione assente|-|Informazione assente|2.0|570,00|-|1.695,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC839005|CNEE839028|BERNEZZO- FRAZ. S. ROCCO|BERNEZZO|SCUOLA PRIMARIA|P.ZA  DON MARIO GIORDANA N.2|CUNEO|PIEMONTE|0040220004|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1965|Informazione assente|-|Informazione assente|4.0|950,00|640,00|3.630,00|Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|SI|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC83100E|CNEE83107V|POLONGHERA - CAPOLUOGO|POLONGHERA|SCUOLA PRIMARIA|VIA FOSSATI 8|CUNEO|PIEMONTE|0041710001|CN|Attivo|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|prima del 1945|2.0|1.500,00|1.018,00|1.720,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Faule|Amministrazione Comunale|2017-12-15|2018-03-26|2018-12-31|COMUNE di Faule|COMUNE|CNIC83100E|||44.803202|7.596064|Nuova edificazione|In approvazione|G27E17000000006|1250564,0000|262697,4000
NORD OVEST|CNIC83100E|CNEE83107V|POLONGHERA - CAPOLUOGO|POLONGHERA|SCUOLA PRIMARIA|VIA FOSSATI 8|CUNEO|PIEMONTE|0041710001|CN|Attivo|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|prima del 1945|2.0|1.500,00|1.018,00|1.720,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Polonghera|Amministrazione comunale|2017-12-15|2017-10-10|2017-12-31|Polonghera|COMUNE||||44.803225|7.596063000000001|Efficientamento energeticoRistrutturazione|Cantiere aperto|G52F17000020004|179000,0000|179000,0000
NORD OVEST|CNIC83100E|CNEE83108X|TORRE SAN GIORGIO - CAPOL.|TORRE SAN GIORGIO|SCUOLA PRIMARIA|VIA MAESTRA ADOLFO SARTI, 23|CUNEO|PIEMONTE|0042280001|CN|Attivo|NO|NO|SI|Non Comunicato|NO|SI|NO|1955|Informazione assente|-|Informazione assente|2.0|539,00|148,00|2.737,00|Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE80601X|BASTIA MONDOVI'|BASTIA MONDOVI'|SCUOLA PRIMARIA|VIA DELLE SCUOLE 1|CUNEO|PIEMONTE|0040140001|CN|Attivo|NO|NO|SI|Non classificato a rischio|-|NO|SI|-|tra il 1946 e il 1960|-|tra il 1946 e il 1975|3.0|1.098,00|517,00|3.719,00|Non Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE806021|CARRU'|CARRU'|SCUOLA PRIMARIA|VIA PIPPO VACCHETTI 21|CUNEO|PIEMONTE|0040430002|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|1955|Informazione assente|-|Informazione assente|3.0|7.675,00|3.790,00|8.772,00|Esiste|Non Esiste|Esiste|Esiste|Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE806032|CLAVESANA|CLAVESANA|SCUOLA PRIMARIA|VIALE MARTIRI LIBERTA', 43 B|CUNEO|PIEMONTE|0040710003|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|1962|Informazione assente|-|Informazione assente|3.0|500,00|275,00|960,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE806043|ROCCA DE' BALDI - FRAZ. CRAVA|ROCCA DE' BALDI|SCUOLA PRIMARIA|VIA PEIRONE, 53 A|CUNEO|PIEMONTE|0041890001|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1800 e il 1899|1992|Informazione assente|2.0|-|-|780,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE806043|ROCCA DE' BALDI - FRAZ. CRAVA|ROCCA DE' BALDI|SCUOLA PRIMARIA|VIA PEIRONE, 53 A|CUNEO|PIEMONTE|0041890002|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1800 e il 1899|-|prima del 1945|2.0|2.600,00|1.956,00|3.864,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC80600T|CNEE806054|MAGLIANO ALPI|MAGLIANO ALPI|SCUOLA PRIMARIA|VIA LANGHE,  111|CUNEO|PIEMONTE|0041140001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1991|Informazione assente|-|Informazione assente|2.0|10.105,00|7.270,00|6.835,00|Esiste|Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|SI|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Magliano Alpi|MIUR|2017-09-14|2016-07-04|2016-12-29|MAGLIANO ALPI|COMUNE|CNIC80600T|||44.459559999999996|7.801121000000001|Efficientamento energetico|Cantiere aperto|I21E15000200005|800000,0000|796000,0000
NORD OVEST|CNIC80600T|CNEE806054|MAGLIANO ALPI|MAGLIANO ALPI|SCUOLA PRIMARIA|VIA LANGHE,  111|CUNEO|PIEMONTE|0041140001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1991|Informazione assente|-|Informazione assente|2.0|10.105,00|7.270,00|6.835,00|Esiste|Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|SI|#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Magliano Alpi|Amministrazione comunale|2017-11-28|2016-07-04|2016-09-04|COMUNE di Magliano Alpi|COMUNE||||44.465676|7.822911|Adeguamento impiantistica e/o antincendio|Concluso|I24H15000420002|68000,0000|14211,6300
NORD OVEST|CNIC80600T|CNEE806054|MAGLIANO ALPI|MAGLIANO ALPI|SCUOLA PRIMARIA|VIA LANGHE,  111|CUNEO|PIEMONTE|0041140002|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|2002|Informazione assente|-|Informazione assente|1.0|10.105,00|7.410,00|5.681,00|Non Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|SI|NO|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC80700N|CNEE80701Q|BENE VAGIENNA-CAPOLUOGO|BENE VAGIENNA|SCUOLA PRIMARIA|VIALE RIMEMBRANZA 2|CUNEO|PIEMONTE|0040190002|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|10.040,00|8.115,00|7.198,00|Esiste|Non Esiste|Esiste|Non Esiste|Esiste|SI|SI|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC80700N|CNEE80701Q|BENE VAGIENNA-CAPOLUOGO|BENE VAGIENNA|SCUOLA PRIMARIA|VIALE RIMEMBRANZA 2|CUNEO|PIEMONTE|0040190005|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|NO|SI|-|dal 1976 in poi|-|Dal 1976 in poi|4.0|-|-|6.000,00|Non Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|SI|SI|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC80700N|CNEE80702R|SALMOUR-CAPOLUOGO|SALMOUR|SCUOLA PRIMARIA|PIAZZA DONATORI DI SANGUE N. 1|CUNEO|PIEMONTE|0042020001|CN|Attivo|NO|NO|SI|Non classificato a rischio|SI|NO|SI|-|tra il 1800 e il 1899|-|tra il 1946 e il 1975|2.0|1.076,00|598,00|3.250,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC812005|CNEE81207D|MONASTERO DI VASCO|MONASTERO DI VASCO|SCUOLA PRIMARIA|PIAZZA DON DHO|CUNEO|PIEMONTE|0041260003|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|2013|Informazione assente|-|Informazione assente|1.0|4.420,00|3.509,00|3.592,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC813001|CNEE813024|SALE DELLE LANGHE - CAPOLUOGO|SALE DELLE LANGHE|SCUOLA PRIMARIA|VIA ROMA|CUNEO|PIEMONTE|0041990001|CN|Attivo|SI|NO|NO|Non classificato a rischio|NO|SI|NO|1970|Informazione assente|-|Informazione assente|4.0|775,00|336,00|5.400,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|SI|SI|SI|SI|#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Sale delle Langhe|Amministrazione comunale|2017-11-28|2016-09-01|2018-06-30|COMUNE di Sale delle Langhe|COMUNE||||44.394185|8.079377000000001|Adeguamento impiantistica e/o antincendio , Efficientamento energetico , Accessibilit� e abbattimento delle barriere architettoniche , Adeguamento sismico|Cantiere aperto|C61E15000400006|191319,0000|17729,4500
NORD OVEST|CNIC83100E|CNEE83104Q|SCARNAFIGI - CAPOL.|SCARNAFIGI|SCUOLA PRIMARIA|P.ZZA EUROPA N. 1|CUNEO|PIEMONTE|0042170002|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1995|Informazione assente|-|Informazione assente|2.0|3.814,00|-|2.890,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|NO|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC813001|CNEE813035|CEVA - CAPOLUOGO|CEVA|SCUOLA PRIMARIA|PIAZZA GALLIANO 4|CUNEO|PIEMONTE|0040660002|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1935|Informazione assente|-|Informazione assente|3.0|-|-|11.623,00|Esiste|Esiste|Non Esiste|Non Esiste|Non Esiste|SI|SI|SI|SI|SI|SI|#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Ceva|Amministrazione comunale|2017-11-28|2017-06-12|2017-07-28|COMUNE di Ceva|COMUNE||||44.384275|8.031825|Accessibilita` e abbattimento delle barriere architettoniche, rifacimento tetto scuola elementare e messa in sicurezza|Concluso|C84H16000580004|88490,3500|84381,5600
NORD OVEST|CNIC813001|CNEE813035|CEVA - CAPOLUOGO|CEVA|SCUOLA PRIMARIA|PIAZZA GALLIANO 4|CUNEO|PIEMONTE|0040660006|CN|Attivo|NO|NO|SI|Non Comunicato|NO|SI|NO|1935|Informazione assente|-|Informazione assente|2.0|1.280,00|731,00|4.419,00|Esiste|Non Esiste|Non Comunicato|Esiste|Esiste|SI|SI|SI|SI|SI|SI||||||||||||||||||
NORD OVEST|CNIC813001|CNEE813046|LESEGNO - CAPOLUOGO|LESEGNO|SCUOLA PRIMARIA|VIA VIARIS 5|CUNEO|PIEMONTE|0041080001|CN|Attivo|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1970|Informazione assente|-|Informazione assente|3.0|1.350,00|934,00|4.624,00|Non Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC813001|CNEE813057|MOMBASIGLIO - CAPOLUOGO|MOMBASIGLIO|SCUOLA PRIMARIA|P.ZA MUNICIPIO 1|CUNEO|PIEMONTE|0041250001|CN|Attivo|-|-|-|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|2.0|872,00|400,00|2.152,00|Non Esiste|Non Esiste|Esiste|Esiste|Non Esiste|NO|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC813001|CNEE813068|VIOLA - CAPOLUOGO|VIOLA|SCUOLA PRIMARIA|PIAZZA MARCONI 2|CUNEO|PIEMONTE|0042490001|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|231,00|-|855,00|Esiste|Non Esiste|Non Esiste|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC812005|CNEE81206C|VILLANOVA M. - FRAZ. PASCO|VILLANOVA MONDOVI'|SCUOLA PRIMARIA|STRADA F.LLI BISCIA 14|CUNEO|PIEMONTE|0042450003|CN|Attivo|NO|NO|SI|Non Comunicato|-|SI|NO|1894|Informazione assente|-|Informazione assente|2.0|669,00|532,00|552,00|Esiste|Non Esiste|Non Comunicato|Non Esiste|Non Esiste|SI|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC812005|CNEE81206C|VILLANOVA M. - FRAZ. PASCO|VILLANOVA MONDOVI'|SCUOLA PRIMARIA|STRADA F.LLI BISCIA 14|CUNEO|PIEMONTE|0042450005|CN|Attivo|NO|NO|NO|Non Comunicato|-|SI|NO|2005|Informazione assente|-|Informazione assente|2.0|1.196,00|848,00|2.053,00|Esiste|Non Esiste|Non Comunicato|Esiste|Non Esiste|SI|NO|NO|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC83100E|CNEE83105R|CARDE' - CAPOL.|CARDE'|SCUOLA PRIMARIA|VIA MORETTA, 21|CUNEO|PIEMONTE|0040420001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|1968|Informazione assente|-|Informazione assente|4.0|3.630,00|2.910,00|3.837,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|NO|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC83100E|CNEE83105R|CARDE' - CAPOL.|CARDE'|SCUOLA PRIMARIA|VIA MORETTA, 21|CUNEO|PIEMONTE|0040420003|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1988|Informazione assente|-|Informazione assente|1.0|-|-|4.537,00|Non Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|NO|NO|SI|NO|SI|NO|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Cardè|MIUR|2017-07-31|2016-07-05|2016-07-27|CARDE`|COMUNE|CNIC83100E|||44.743644|7.481766|Manutenzione straordinaria|Concluso|I29E13000230004|120000,0000|119002,8300
NORD OVEST|CNIC83100E|CNEE83106T|MORETTA - CAPOL.|MORETTA|SCUOLA PRIMARIA|VIA ROMA,32|CUNEO|PIEMONTE|0041430003|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1934|Informazione assente|-|Informazione assente|2.0|4.900,00|4.020,00|8.018,00|Esiste|Non Esiste|Non Esiste|Esiste|Esiste|NO|NO|SI|NO|SI|NO|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Moretta|Amministrazione comunale|2017-12-15|2018-03-26|2018-09-08|Moretta|COMUNE||||44.7648|7.541002000000001|Bonifica amianto|In approvazione|J41E15000420004|940000,0000|510226,0000
NORD OVEST|CNIC83100E|CNEE83106T|MORETTA - CAPOL.|MORETTA|SCUOLA PRIMARIA|VIA ROMA,32|CUNEO|PIEMONTE|0041430005|CN|Attivo|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1900 e il 1920|-|Informazione assente|1.0|1.994,00|1.374,00|2.790,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|NO|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC85800E|CNEE85804Q|MONDOVI' - CAP. LOC. CARASSONE|MONDOVI'|SCUOLA PRIMARIA|PIAZZA SAN GIOVANNI IN LUPAZZANIO N.8|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85900A|CNEE85901C|MONDOVI' -  ALTIPIANO|MONDOVI'|SCUOLA PRIMARIA|VIA MATTEOTTI N. 9|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85900A|CNEE85902D|MONDOVI' - CAP. BORGO ARAGNO|MONDOVI'|SCUOLA PRIMARIA|CORSO MILANO 32|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85900A|CNEE85903E|MONDOVI' - BREOLUNGI|MONDOVI'|SCUOLA PRIMARIA|FRAZ. BREOLUNGI|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85900A|CNEE85904G|MONDOVI' -FRAZ. S.ANNA AVAGNINA|MONDOVI'|SCUOLA PRIMARIA|Non Disponibile|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC85900A|CNEE85905L|PIANFEI - CAPOL.|PIANFEI|SCUOLA PRIMARIA|VIA ROMA 99/F|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC81600C|CNEE81601E|CASTELLETTO UZZONE - CAPOL.|CASTELLETTO UZZONE|SCUOLA PRIMARIA|PIAZZA DELLA CHIESA, 6|CUNEO|PIEMONTE|0040500001|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|1957|Informazione assente|-|Informazione assente|2.0|1.500,00|866,00|848,00|Esiste|Non Esiste|Esiste|Esiste|Non Esiste|SI|NO|NO|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC81600C|CNEE81603L|CORTEMILIA - CAPOLUOGO|CORTEMILIA|SCUOLA PRIMARIA|VIA SALINO  1|CUNEO|PIEMONTE|0040730001|CN|Attivo|SI|NO|NO|Non classificato a rischio|NO|SI|NO|1980|Informazione assente|-|Informazione assente|3.0|3.290,00|2.334,00|8.555,00|Esiste|Non Esiste|Esiste|Non Esiste|Esiste|SI|SI|SI|NO|SI|SI|#SBLOCCASCUOLE 2017 -  DM 26 aprile 2017|Cortemilia|Amministrazione Comunale|2017-09-30|2017-06-19|2017-08-25|COMUNE di Cortemilia|COMUNE|CNIC81600C|||44.583168|8.191230000000001|Efficentamento energetico|Concluso|H66J17000010004|205000,0000|124000,0000
NORD OVEST|CNIC81600C|CNEE81603L|CORTEMILIA - CAPOLUOGO|CORTEMILIA|SCUOLA PRIMARIA|VIA SALINO  1|CUNEO|PIEMONTE|0040730001|CN|Attivo|SI|NO|NO|Non classificato a rischio|NO|SI|NO|1980|Informazione assente|-|Informazione assente|3.0|3.290,00|2.334,00|8.555,00|Esiste|Non Esiste|Esiste|Non Esiste|Esiste|SI|SI|SI|NO|SI|SI|#SBLOCCASCUOLE 2016 -  DPCM 27 aprile 2016|Cortemilia|Amministrazione comunale|2017-11-28|2016-11-16|2016-12-21|COMUNE di Cortemilia|COMUNE||||44.583107|8.191303999999999|Efficientamento energetico|Concluso|H69D15000550005|200000,0000|133799,7300
NORD OVEST|CNIC838009|CNAA838027|CAVALLERMAGGIORE - CAP.|CAVALLERMAGGIORE|SCUOLA INFANZIA|VIALE GALILEI 1|CUNEO|PIEMONTE|0040590005|CN|Attivo|NO|NO|NO|Non classificato a rischio|-|SI|NO|2007|Informazione assente|-|Informazione assente|2.0|4.950,00|2.890,00|5.400,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|NO|SI|SI|NO||||||||||||||||||
NORD OVEST|CNIC838009|CNAA838038|CARAMAGNA P.TE-CAPOLUOGO|CARAMAGNA PIEMONTE|SCUOLA INFANZIA|VIA S.BIAGIO, 36|CUNEO|PIEMONTE|0040410002|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|3.0|3.900,00|2.884,00|3.540,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO|Decreto Mutui BEI prima annualità - Decreto Interministeriale 23 gennaio 2015|Caramagna Piemonte|MIUR|2017-07-31|2016-05-27|2017-05-29|CARAMAGNA PIEMONTE|COMUNE|CNIC838009|||44.782992|7.738949000000001|Manutenzione straordinaria|Concluso|H11E15000060001|497127,8400|497127,8400
NORD OVEST|CNIC839005|CNAA839012|BERNEZZO-CAPOLUOGO INFANZIA|BERNEZZO|SCUOLA INFANZIA|PIAZZA SOLIDARIETA E VOLONTARIATO 5|CUNEO|PIEMONTE|0040220001|CN|Attivo|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1986|Informazione assente|-|Informazione assente|1.0|-|-|1.700,00|Esiste|Non Esiste|Esiste|Non Esiste|Non Esiste|SI|SI|SI|NO|SI|SI||||||||||||||||||
NORD OVEST|CNIC85900A|CNEE85907P|MONDOVI' - VIA CUNEO|MONDOVI'|SCUOLA PRIMARIA|VIA CUNEO|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86000E|CNEE86001L|CUNEO-CAPOL.VIALE ANGELI|CUNEO|SCUOLA PRIMARIA|VIALE ANGELI 82|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86000E|CNEE86002N|"CUNEO-CAPOL. "" ZONA 2"""|CUNEO|SCUOLA PRIMARIA|LARGO PIERO BELLINO 3|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC86100A|CNEE86101C|"CUNEO - CAP. ""LUIGI EINAUDI"""|CUNEO|SCUOLA PRIMARIA|VIA QUINTINO SELLA 39|CUNEO|PIEMONTE|||||||||||||||||||||||||||||||||||||||||||||||
NORD OVEST|CNIC825007|CNEE82502A|CHERASCO - FRAZ. BRICCO|CHERASCO|SCUOLA PRIMARIA|VIA DELLE SCUOLE N.11|CUNEO|PIEMONTE|0040670007|CN|Attivo|SI|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1800 e il 1899|-|prima del 1945|3.0|750,00|507,00|1.720,00|Esiste|Non Esiste|Non Esiste|Esiste|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
NORD OVEST|CNIC825007|CNEE82503B|CHERASCO - FRAZ. RORETO|CHERASCO|SCUOLA PRIMARIA|VIA CONTI PETITTI N.38|CUNEO|PIEMONTE|0040670002|CN|Attivo|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1800 e il 1899|-|Informazione assente|2.0|1.250,00|648,00|3.612,00|Esiste|Esiste|Non Esiste|Non Esiste|Non Esiste|SI|NO|SI|NO|SI|NO||||||||||||||||||
