AREAGEOGRAFICA|CODICEISTITUTORIFERIMENTO|CODICESCUOLA|DENOMINAZIONEISTITUTORIFERIMENTO|DENOMINAZIONESCUOLA|DESCRIZIONECOMUNE|DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA|INDIRIZZOSCUOLA|PROVINCIA|REGIONE|CODICEEDIFICIO|SIGLAPROVINCIA|STATOEDIFICIO|ANNOSCOLASTICO|VINCOLIIDROGEOLOGICI|VINCOLIPAESAGGIO|EDIFICIOVETUSTO|VINCOLIZONASISMICA|PROGETTAZIONEANTISISMICA|USOSCOLASTICO|ALTRIUSI|ANNOCOSTRUZIONE|FASCIAETACOSTRUZIONE|ANNOADATTAMENTO|FASCIAETAADATTAMENTO|NUMEROPIANI|SPERFICIEAREATOTALE|SPERFICIEAREALIBERA|VOLUME
NORD OVEST|CNIC813001|CNMM813012|"CEVA ""A.MOMIGLIANO"""|"CEVA ""A.MOMIGLIANO"""|CEVA|SCUOLA PRIMO GRADO|VIA L.MARENCO    N 1|CUNEO|PIEMONTE|0040660003|CN|Attivo|201516.0|NO|NO|SI|Non Comunicato|NO|NO|SI|1800|Informazione assente|1960|Informazione assente|4.0|657,00|77,00|10.818,00
NORD OVEST|CNIC813001|CNMM813012|"CEVA ""A.MOMIGLIANO"""|"CEVA ""A.MOMIGLIANO"""|CEVA|SCUOLA PRIMO GRADO|VIA L.MARENCO    N 1|CUNEO|PIEMONTE|0040660007|CN|Attivo|201516.0|NO|NO|NO|Non Comunicato|NO|SI|NO|1977|Informazione assente|-|Informazione assente|2.0|851,00|-|6.582,00
NORD OVEST|CNIC81400R|CNMM81401T|BOSSOLASCO-MURAZZANO|"BOSSOLASCO ""ALTA LANGA"""|BOSSOLASCO|SCUOLA PRIMO GRADO|PIAZZA CADUTI PER LA PATRIA, 1|CUNEO|PIEMONTE|0040270003|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1984|Informazione assente|-|Informazione assente|3.0|1.634,00|714,00|6.896,00
NORD OVEST|CNIC81400R|CNMM81402V|BOSSOLASCO-MURAZZANO|BOSSOLASCO SS LEQUIO BERRIA|LEQUIO BERRIA|SCUOLA PRIMO GRADO|VIA LANGA N.5|CUNEO|PIEMONTE|0041060001|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|SI|SI|NO|1968|Informazione assente|-|Informazione assente|2.0|1.747,00|47,00|3.434,00
NORD OVEST|CNIC81400R|CNMM81403X|BOSSOLASCO-MURAZZANO|BOSSOLASCO SS CRAVANZANA|CRAVANZANA|SCUOLA PRIMO GRADO|PIAZZA MARCONI, 1|CUNEO|PIEMONTE|0040760001|CN|Attivo|201516.0|SI|NO|NO|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|440,00|-|3.300,00
NORD OVEST|CNIC825007|CNMM825029|CHERASCO - S. TARICCO|CHERASCO SS NARZOLE|NARZOLE|SCUOLA PRIMO GRADO|PIAZZA     GIOVANNI XXIII|CUNEO|PIEMONTE|0041470001|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|3.0|3.670,00|2.480,00|14.042,00
NORD OVEST|CNIC826003|CNMM826014|VENASCA-COSTIGLIOLE S.|VENASCA|VENASCA|SCUOLA PRIMO GRADO|VIA MARCONI N. 4|CUNEO|PIEMONTE|0042370002|CN|Attivo|201516.0|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1959|Informazione assente|-|Informazione assente|3.0|2.175,00|1.414,00|5.650,00
NORD OVEST|CNIC826003|CNMM826014|VENASCA-COSTIGLIOLE S.|VENASCA|VENASCA|SCUOLA PRIMO GRADO|VIA MARCONI N. 4|CUNEO|PIEMONTE|0042370003|CN|Attivo|201516.0|NO|SI|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1980|Informazione assente|-|Informazione assente|3.0|-|-|3.100,00
NORD OVEST|CNIC826003|CNMM826025|VENASCA-COSTIGLIOLE S.|VENASCA SS SAMPEYRE|SAMPEYRE|SCUOLA PRIMO GRADO|VIA  SILVIO PELLICO|CUNEO|PIEMONTE|0042050001|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|5.0|792,00|150,00|6.700,00
NORD OVEST|CNIS019004|CNTD01950P|"ALBA - ""L. EINAUDI"""|I.T.C.GEOM. ALBA SERALE|ALBA|IST TEC COMMERCIALE E PER GEOMETRI|VIA P.FERRERO 20|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIS02900P|CNTD029011|"MONDOVI' ""CIGNA-BARUFFI-GARELLI"""|"MONDOVI' ""G. BARUFFI"""|MONDOVI'|IST TEC COMMERCIALE E PER GEOMETRI|VIA E. TORTORA,  48|CUNEO|PIEMONTE|0041300025|CN|Attivo|201516.0|SI|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|6.0|8.119,00|-|10.083,00
NORD OVEST|CNIC826003|CNMM826036|VENASCA-COSTIGLIOLE S.|VENASCA SS PIASCO|PIASCO|SCUOLA PRIMO GRADO|VIA UMBERTO I 86|CUNEO|PIEMONTE|0041660003|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|SI|SI|NO|2012|Informazione assente|-|Informazione assente|2.0|2.100,00|-|5.200,00
NORD OVEST|CNIC826003|CNMM826047|VENASCA-COSTIGLIOLE S.|VENASCA SS COSTIGLIOLE SALUZZO|COSTIGLIOLE SALUZZO|SCUOLA PRIMO GRADO|PIAZZA VITTORIO EMANUELE II N. 10|CUNEO|PIEMONTE|0040750003|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1970|Informazione assente|-|Informazione assente|3.0|3.200,00|1.760,00|12.028,00
NORD OVEST|CNIC82800P|CNMM82801Q|"DRONERO ""G.GIOLITTI"""|"DRONERO ""G.GIOLITTI"""|DRONERO|SCUOLA PRIMO GRADO|"PIAZZA BATTAGLIONE ALPINI ""DRONERO"""|CUNEO|PIEMONTE|0040820002|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1983|Informazione assente|-|Informazione assente|1.0|1.200,00|-|9.680,00
NORD OVEST|CNIC82800P|CNMM82801Q|"DRONERO ""G.GIOLITTI"""|"DRONERO ""G.GIOLITTI"""|DRONERO|SCUOLA PRIMO GRADO|"PIAZZA BATTAGLIONE ALPINI ""DRONERO"""|CUNEO|PIEMONTE|0040820005|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1981|Informazione assente|-|Informazione assente|3.0|3.600,00|1.200,00|12.000,00
NORD OVEST|CNIC82800P|CNMM82802R|"DRONERO ""G.GIOLITTI"""|DRONERO SS STROPPO|STROPPO|SCUOLA PRIMO GRADO|FRAZIONE BASSURA|CUNEO|PIEMONTE|0042240002|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|3.0|1.969,00|1.300,00|4.170,00
NORD OVEST|CNIC83000P|CNMM83001Q|"RACCONIGI ""B. MUZZONE"""|"RACCONIGI  ""B.MUZZONE"""|RACCONIGI|SCUOLA PRIMO GRADO|VIA SACCO E VANZETTI|CUNEO|PIEMONTE|0041790006|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|-|SI|NO|1977|Informazione assente|-|Informazione assente|4.0|6.764,00|4.349,00|6.765,00
NORD OVEST|CNIC83100E|CNMM83101G|MORETTA|MORETTA|MORETTA|SCUOLA PRIMO GRADO|VIA MARTIRI LIBERTA' N. 10|CUNEO|PIEMONTE|0041430004|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1975|Informazione assente|-|Informazione assente|4.0|6.742,00|4.894,00|14.877,00
NORD OVEST|CNIC83100E|CNMM83102L|MORETTA|MORETTA SS SCARNAFIGI|SCARNAFIGI|SCUOLA PRIMO GRADO|VIA CARLO ALBERTO N.  5|CUNEO|PIEMONTE|0042170001|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1800 e il 1899|-|Informazione assente|2.0|1.355,00|670,00|4.910,00
NORD OVEST|CNIC83200A|CNMM83201B|"BAGNOLO P.TE ""B. FENOGLIO"""|"BAGNOLO P.TE ""B. FENOGLIO"""|BAGNOLO PIEMONTE|SCUOLA PRIMO GRADO|VIA  CONFRATERNITA       42|CUNEO|PIEMONTE|0040090003|CN|Attivo|201516.0|-|-|SI|Rischio sismicità medio/alta (S=9)|NO|NO|SI|-|prima del 1800|-|Dal 1976 in poi|3.0|1.841,00|299,00|5.436,00
NORD OVEST|CNIC83200A|CNMM83201B|"BAGNOLO P.TE ""B. FENOGLIO"""|"BAGNOLO P.TE ""B. FENOGLIO"""|BAGNOLO PIEMONTE|SCUOLA PRIMO GRADO|VIA  CONFRATERNITA       42|CUNEO|PIEMONTE|0040090005|CN|Attivo|201516.0|NO|NO|NO|Rischio sismicità medio/alta (S=9)|SI|SI|NO|1998|Informazione assente|-|Informazione assente|1.0|-|-|655,00
NORD OVEST|CNIC833006|CNMM833017|BARGE|"BARGE ""GIOVANNI XXIII"""|BARGE|SCUOLA PRIMO GRADO|VIA COTTOLENGO N. 2|CUNEO|PIEMONTE|0040120005|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1966|Informazione assente|-|Informazione assente|4.0|-|-|4.495,00
NORD OVEST|CNIC833006|CNMM833017|BARGE|"BARGE ""GIOVANNI XXIII"""|BARGE|SCUOLA PRIMO GRADO|VIA COTTOLENGO N. 2|CUNEO|PIEMONTE|0040120008|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1961|Informazione assente|-|Informazione assente|1.0|-|-|2.356,00
NORD OVEST|CNIC833006|CNMM833017|BARGE|"BARGE ""GIOVANNI XXIII"""|BARGE|SCUOLA PRIMO GRADO|VIA COTTOLENGO N. 2|CUNEO|PIEMONTE|0040120009|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1991|Informazione assente|-|Informazione assente|3.0|-|-|2.740,00
NORD OVEST|CNIC834002|CNMM834013|REVELLO|"REVELLO ""D.ALIGHIERI"""|REVELLO|SCUOLA PRIMO GRADO|VIALE UMBERTO I N. 33|CUNEO|PIEMONTE|0041800003|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1974|Informazione assente|-|Informazione assente|3.0|-|-|7.600,00
NORD OVEST|CNIC83500T|CNMM83501V|SANFRONT -  PAESANA|"SANFRONT ""G.B.BOERO"""|SANFRONT|SCUOLA PRIMO GRADO|CORSO MARCONI  N.  22|CUNEO|PIEMONTE|0042090002|CN|Attivo|201516.0|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|2.0|3.400,00|2.063,00|6.100,00
NORD OVEST|CNIC83500T|CNMM83502X|SANFRONT -  PAESANA|SANFRONT SS PAESANA D.L.MILANI|PAESANA|SCUOLA PRIMO GRADO|VIA ROMA N. 59|CUNEO|PIEMONTE|0041570001|CN|Attivo|201516.0|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1900 e il 1920|-|Informazione assente|4.0|2.800,00|1.300,00|16.800,00
NORD OVEST|CNIC83600N|CNMM83601P|GARESSIO|"GARESSIO ""FASIANI"""|GARESSIO|SCUOLA PRIMO GRADO|VIA VITT. EMANUELE  100|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC846008|CNMM84602A|DOGLIANI|DOGLIANI  SS FARIGLIANO|FARIGLIANO|SCUOLA PRIMO GRADO|PIAZZA VITTORIO EMANUELE II N.24|CUNEO|PIEMONTE|0040860003|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|NO|SI|1920|Informazione assente|1977|Informazione assente|3.0|476,00|-|4.908,00
NORD OVEST|CNIC847004|CNMM847015|CUNEO - FRAZ. BORGO S. GIUSEPPE|CUNEO BORGO SAN GIUSEPPE|CUNEO|SCUOLA PRIMO GRADO|VIA ROCCA DE' BALDI 15|CUNEO|PIEMONTE|0040780041|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1970|Informazione assente|-|Informazione assente|3.0|6.000,00|4.029,00|22.836,00
NORD OVEST|CNIS02900P|CNTD02951A|"MONDOVI' ""CIGNA-BARUFFI-GARELLI"""|"MONDOVI'""G.BARUFFI""SERALE"|MONDOVI'|IST TEC COMMERCIALE E PER GEOMETRI|VIA ENZO TORTORA 48|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNTD04000P|CNTD04000P|"CUNEO - ""F. A. BONELLI"""|"CUNEO - ""F. A. BONELLI"""|CUNEO|ISTITUTO TECNICO COMMERCIALE|VIALE      ANGELI, 12|CUNEO|PIEMONTE|0040780006|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|1.0|-|-|4.000,00
NORD OVEST|CNTD04000P|CNTD04000P|"CUNEO - ""F. A. BONELLI"""|"CUNEO - ""F. A. BONELLI"""|CUNEO|ISTITUTO TECNICO COMMERCIALE|VIALE      ANGELI, 12|CUNEO|PIEMONTE|0040780015|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1800 e il 1899|-|prima del 1945|5.0|5.100,00|1.600,00|33.000,00
NORD OVEST|CNTD04000P|CNTD040504|"CUNEO - ""F. A. BONELLI"""|"CUNEO ""F.A.BONELLI"" SERALE"|CUNEO|ISTITUTO TECNICO COMMERCIALE|VIALE      ANGELI, 12|CUNEO|PIEMONTE|0040780006|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|1.0|-|-|4.000,00
NORD OVEST|CNTD04000P|CNTD040504|"CUNEO - ""F. A. BONELLI"""|"CUNEO ""F.A.BONELLI"" SERALE"|CUNEO|ISTITUTO TECNICO COMMERCIALE|VIALE      ANGELI, 12|CUNEO|PIEMONTE|0040780015|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1800 e il 1899|-|prima del 1945|5.0|5.100,00|1.600,00|33.000,00
NORD OVEST|CNTF010005|CNTF010005|"CUNEO ""MARIO DELPOZZO"""|"CUNEO ""MARIO DELPOZZO"""|CUNEO|ISTITUTO TECNICO INDUSTRIALE|CORSO      A.DE GASPERI 30|CUNEO|PIEMONTE|0040780011|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|NO|SI|1970|Informazione assente|-|Informazione assente|5.0|22.050,00|14.000,00|18.000,00
NORD OVEST|CNTF010005|CNTF010005|"CUNEO ""MARIO DELPOZZO"""|"CUNEO ""MARIO DELPOZZO"""|CUNEO|ISTITUTO TECNICO INDUSTRIALE|CORSO      A.DE GASPERI 30|CUNEO|PIEMONTE|0040780012|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|2.0|-|-|6.000,00
NORD OVEST|CNTF010005|CNTF01050E|"CUNEO ""MARIO DELPOZZO"""|"CUNEO""M.DELPOZZO""SERALE"|CUNEO|ISTITUTO TECNICO INDUSTRIALE|CORSO A. DE GASPERI 30|CUNEO|PIEMONTE|0040780011|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|NO|SI|1970|Informazione assente|-|Informazione assente|5.0|22.050,00|14.000,00|18.000,00
NORD OVEST|CNTF010005|CNTF01050E|"CUNEO ""MARIO DELPOZZO"""|"CUNEO""M.DELPOZZO""SERALE"|CUNEO|ISTITUTO TECNICO INDUSTRIALE|CORSO A. DE GASPERI 30|CUNEO|PIEMONTE|0040780012|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|2.0|-|-|6.000,00
NORD OVEST|CNIS014001|CNTF01401D|"SALUZZO - ""C. DENINA"""|"VERZUOLO ""GIOVANNI RIVOIRA"""|VERZUOLO|ISTITUTO TECNICO INDUSTRIALE|VIA DON ORIONE N.1|CUNEO|PIEMONTE|0042400006|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|NO|SI|-|tra il 1921 e il 1945|-|Dal 1976 in poi|3.0|2.050,00|760,00|7.000,00
NORD OVEST|CNIC84800X|CNMM848011|CUNEO - OLTRESTURA|"""F.CENTRO"" - MADONNA DELL'OLMO"|CUNEO|SCUOLA PRIMO GRADO|VIA DELLA BATTAGLIA, 2|CUNEO|PIEMONTE|0040780042|CN|Attivo|201516.0|NO|NO|NO|Non Comunicato|NO|SI|NO|1969|Informazione assente|-|Informazione assente|3.0|3.735,00|1.835,00|11.196,00
NORD OVEST|CNIC84900Q|CNMM84901R|DIANO D'ALBA - CAPOLUOGO|DIANO D'ALBA|DIANO D'ALBA|SCUOLA PRIMO GRADO|P.ZZA UMBERTO I N.25/A|CUNEO|PIEMONTE|0040800001|CN|Attivo|201516.0|SI|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|4.0|705,00|355,00|5.390,00
NORD OVEST|CNIC85000X|CNMM850011|BUSCA GIOSUE CARDUCCI|"BUSCA ""G.CARDUCCI"""|BUSCA|SCUOLA PRIMO GRADO|CORSO GIOVANNI GIOLITTI N. 8|CUNEO|PIEMONTE|0040340001|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|SI|NO|1960|Informazione assente|-|Informazione assente|4.0|6.410,00|4.700,00|12.900,00
NORD OVEST|CNIC85100Q|CNMM85101R|SAVIGLIANO S. SANTAROSA|SAVIGLIANO S. SANTAROSA|SAVIGLIANO|SCUOLA PRIMO GRADO|VIA DEGLI STUDI 2|CUNEO|PIEMONTE|0042150020|CN|Attivo|201516.0|NO|NO|NO|Non Comunicato|-|SI|NO|1970|Informazione assente|-|Informazione assente|4.0|7.495,00|5.093,00|21.444,00
NORD OVEST|CNIC85200G|CNMM85201L|SAVIGLIANO -PAPA GIOVANNI XXIII|SAVIGLIANO GIOVANNI XXIII|SAVIGLIANO|SCUOLA PRIMO GRADO|PIAZZA MOLINERI 9|CUNEO|PIEMONTE|0042150008|CN|Attivo|201516.0|NO|NO|SI|Non Comunicato|-|NO|SI|1717|Informazione assente|-|Informazione assente|5.0|2.312,00|775,00|20.288,00
NORD OVEST|CNIC85200G|CNMM85202N|SAVIGLIANO -PAPA GIOVANNI XXIII|SAVIGLIANO SS MARENE|MARENE|SCUOLA PRIMO GRADO|VIA R. GALVAGNO N. 3|CUNEO|PIEMONTE|0041170001|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1921 e il 1945|-|Informazione assente|3.0|5.576,00|3.313,00|4.611,00
NORD OVEST|CNIC85200G|CNMM85202N|SAVIGLIANO -PAPA GIOVANNI XXIII|SAVIGLIANO SS MARENE|MARENE|SCUOLA PRIMO GRADO|VIA R. GALVAGNO N. 3|CUNEO|PIEMONTE|0041170002|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|2.0|5.576,00|3.313,00|4.611,00
NORD OVEST|CNIC85200G|CNMM85202N|SAVIGLIANO -PAPA GIOVANNI XXIII|SAVIGLIANO SS MARENE|MARENE|SCUOLA PRIMO GRADO|VIA R. GALVAGNO N. 3|CUNEO|PIEMONTE|0041170003|CN|Attivo|201516.0|NO|NO|-|Non classificato a rischio|NO|SI|NO|1980|Informazione assente|-|Informazione assente|2.0|5.800,00|980,00|6.895,00
NORD OVEST|CNIS014001|CNTD01450G|"SALUZZO - ""C. DENINA"""|"SALUZZO""C.DENINA""SERALE"|SALUZZO|ISTITUTO TECNICO COMMERCIALE|VIA DELLA CHIESA 17|CUNEO|PIEMONTE|0042030017|CN|Attivo|201516.0|NO|SI|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|prima del 1945|6.0|2.800,00|1.300,00|13.300,00
NORD OVEST|CNIC86100A|CNMM86101B|CUNEO VIA SOBRERO|CUNEO - DA VINCI|CUNEO|SCUOLA PRIMO GRADO|VIA A. SOBRERO 14|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIS00700T|CNPC007015|"ALBA - ""G. GOVONE"""|"ALBA ""G.GOVONE"""|ALBA|LICEO CLASSICO|VIA TEOBALDO CALISSANO 8|CUNEO|PIEMONTE|0040030026|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|SI|NO|-|tra il 1800 e il 1899|-|Informazione assente|3.0|5.110,00|460,00|17.017,00
NORD OVEST|CNIS00700T|CNPC007015|"ALBA - ""G. GOVONE"""|"ALBA ""G.GOVONE"""|ALBA|LICEO CLASSICO|VIA TEOBALDO CALISSANO 8|CUNEO|PIEMONTE|0040030037|CN|Attivo|201516.0|-|-|-|Non classificato a rischio|SI|NO|SI|-|tra il 1800 e il 1899|-|Informazione assente|4.0|5.000,00|4.384,00|2.083,00
NORD OVEST|CNIS02200X|CNPC022017|"ISTRUZIONE SUPERIORE  ""ARIMONDI-EULA"""|"ISTRUZIONE SUPERIORE ""ARIMONDI - EULA"""|SAVIGLIANO|LICEO CLASSICO|PIAZZA  BARALIS 4/5|CUNEO|PIEMONTE|0042150013|CN|Attivo|201516.0|NO|NO|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|tra il 1946 e il 1975|3.0|4.700,00|1.200,00|52.500,00
NORD OVEST|CNIS02200X|CNPC022017|"ISTRUZIONE SUPERIORE  ""ARIMONDI-EULA"""|"ISTRUZIONE SUPERIORE ""ARIMONDI - EULA"""|SAVIGLIANO|LICEO CLASSICO|PIAZZA  BARALIS 4/5|CUNEO|PIEMONTE|0042150015|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|dal 1976 in poi|-|Informazione assente|3.0|-|-|4.000,00
NORD OVEST|CNPC030005|CNPC030005|"SALUZZO ""G.B.BODONI"""|"SALUZZO ""G.B.BODONI"""|SALUZZO|LICEO CLASSICO|VIA DONAUDI, 24|CUNEO|PIEMONTE|0042030012|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|1991|Informazione assente|-|Informazione assente|4.0|3.500,00|1.100,00|27.000,00
NORD OVEST|CNPC030005|CNPC030005|"SALUZZO ""G.B.BODONI"""|"SALUZZO ""G.B.BODONI"""|SALUZZO|LICEO CLASSICO|VIA DONAUDI, 24|CUNEO|PIEMONTE|0042030013|CN|Attivo|201516.0|-|SI|SI|Rischio bassa sismicità (S=6)|NO|NO|SI|-|prima del 1800|-|Informazione assente|7.0|1.700,00|613,00|4.347,00
NORD OVEST|CNIC85300B|CNMM85301C|ALBA QUARTIERE MUSSOTTO E SX TA|ALBA - SS MONTICELLO|MONTICELLO D'ALBA|SCUOLA PRIMO GRADO|PIAZZA G. MARCONI N. 2|CUNEO|PIEMONTE|0041420006|CN|Attivo|201516.0|SI|NO|SI|Non classificato a rischio|NO|SI|NO|1937|Informazione assente|-|Informazione assente|5.0|375,00|-|1.800,00
NORD OVEST|CNIC85300B|CNMM85302D|ALBA QUARTIERE MUSSOTTO E SX TA|ALBA - SS MUSSOTTO|ALBA|SCUOLA PRIMO GRADO|VIA DELPIANO, 11|CUNEO|PIEMONTE|0040030004|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1990|Informazione assente|-|Informazione assente|3.0|8.264,00|6.841,00|8.310,00
NORD OVEST|CNIC854007|CNMM854018|ALBA QUARTIERE PIAVE S.CASSIANO|ALBA  PIAVE S.CASSIANO -MACRINO|ALBA|SCUOLA PRIMO GRADO|C.SO EUROPA 1|CUNEO|PIEMONTE|0040030016|CN|Attivo|201516.0|NO|SI|SI|Non classificato a rischio|NO|Non Comunicato|-|-|tra il 1800 e il 1899|-|Informazione assente|2.0|5.435,00|3.942,00|17.465,00
NORD OVEST|CNIC855003|CNMM855014|ALBA QUARTIERE MORETTA|ALBA  - QUART. MORETTA-PERTINI|ALBA|SCUOLA PRIMO GRADO|VIA S.PAOLO  N. 8|CUNEO|PIEMONTE|0040030019|CN|Attivo|201516.0|NO|SI|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1921 e il 1945|-|Dal 1976 in poi|3.0|913,00|18,00|7.400,00
NORD OVEST|CNIC85600V|CNMM85601X|ALBA CENTRO STORICO|ALBA CENTRO STORICO - VIDA|ALBA|SCUOLA PRIMO GRADO|VIA BALBO, 8|CUNEO|PIEMONTE|0040030018|CN|Attivo|201516.0|NO|NO|SI|Non classificato a rischio|NO|NO|SI|-|tra il 1800 e il 1899|-|Dal 1976 in poi|3.0|19.200,00|17.860,00|15.175,00
NORD OVEST|CNIC85700P|CNMM85701Q|CUNEO-CORSO SOLERI|SCUOLE MEDIE IC CUNEO SOLERI|CUNEO|SCUOLA PRIMO GRADO|C.SO SOLERI, N. 1|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIC85800E|CNMM85801G|MONDOVI' 1|"MONDOVI' ""GALLO-FRANK"""|MONDOVI'|SCUOLA PRIMO GRADO|VIA MANESSERO 8|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIS014001|CNTF01451V|"SALUZZO - ""C. DENINA"""|"VERZUOLO""M.DELPOZZO""SERALE"|VERZUOLO|ISTITUTO TECNICO INDUSTRIALE|VIA DON ORIONE 1|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIS01600L|CNTF016015|"BRA - ""E. GUALA"""|"BRA - ""ASCANIO SOBRERO"""|BRA|ISTITUTO TECNICO INDUSTRIALE|VIALE RIMEMBRANZE N. 19|CUNEO|PIEMONTE|0040290039|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|SI|SI|NO|-|tra il 1946 e il 1960|-|Informazione assente|5.0|7.000,00|6.220,00|6.265,00
NORD OVEST|CNIS01700C|CNTF017022|"FOSSANO -  ""G.VALLAURI"""|"FOSSANO ""G.VALLAURI"""|FOSSANO|ISTITUTO TECNICO INDUSTRIALE|VIA S.MICHELE 68|CUNEO|PIEMONTE|0040890014|CN|Attivo|201516.0|NO|NO|NO|Rischio bassa sismicità (S=6)|NO|SI|NO|-|tra il 1961 e il 1975|-|Informazione assente|5.0|10.800,00|6.800,00|43.200,00
NORD OVEST|CNIS01700C|CNTF017509|"FOSSANO -  ""G.VALLAURI"""|FOSSANO IND.LE  SERALE|FOSSANO|ISTITUTO TECNICO INDUSTRIALE|VIA S. MICHELE, 68|CUNEO|PIEMONTE|||||||||||||||||||
NORD OVEST|CNIS019004|CNTF01901L|"ALBA - ""L. EINAUDI"""|ALBA I.T.I.S.|ALBA|ISTITUTO TECNICO INDUSTRIALE|VIA P. FERRERO, 20|CUNEO|PIEMONTE|0040030021|CN|Attivo|201516.0|NO|NO|NO|Non classificato a rischio|NO|SI|NO|1970|Informazione assente|-|Informazione assente|4.0|10.250,00|6.520,00|120.200,00
